city_name,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,pos,hours_congestion,year_change,cost,inner_time,inner_mile_speed
tehran,770355259.417788,95639,207786,4.345214818222692,73005,2.6638296092598206,16775482.314000245,80.73442057694092,10880638.042000134,85.50398058984962,127253,124.14921405518947,94.7679646598052,21776.293611182282,14124.182199032952,1.04723811492,0.0004764517339955531,,,2.511292812904225,0.05961075690525593,4.5433978316417654e-05,0.022884816365508442,0.00031558743937997754,1891225479,4.672117713944679e-05,266850620,1.5724333447162803e-06,,,,,,
shenzhen,3876289795.684913,29854,66928,4.4836872780866885,25930,2.973370402626114,14214803.58200002,212.3894869411908,9780330.15,220.4465164765812,44366,7.701694551638909,6.689386337643094,3667.115806930623,2523.1163472058943,1.0862819534,0.001464260100406407,,,2.446242267926145,0.029125900452712336,0.0001501921843059296,0.061942564927087634,0.0004951852889072753,4472714038,0.0001751164325338535,1169605221,5.086888298302728e-06,,,,,,
baghdad,887165888.7230947,49584,139817,5.6396014843497895,46963,3.0401944175540496,14215876.78800006,101.67488065113727,7879486.5819999585,104.63708726079916,75303,55.890336441324024,52.93598479940909,16023.921758828092,8881.638352147385,1.03213852613,0.0003003926561147787,,,2.9311229428847527,0.03900279067966583,0.00011374062651215908,0.02669140582983725,0.0002407811775260638,26663502,8.577065338900257e-05,21583503,3.0289696643725338e-06,,,,,,
bogotá,638112575.4915035,57283,145290,5.0727091807342495,50136,2.9637937957160063,11140766.909000224,76.67951620208015,6737838.213999999,79.40133180136226,84858,89.76942658727266,78.5692085152576,17458.936458694767,10559.0117994622,1.04138346413,0.00048179503062839834,,,2.7498462520667397,0.06042208890024784,8.855677491591518e-05,0.028440832192380312,0.00045368111244840583,1062778141,6.551990114581715e-05,316848114,2.622538258177753e-06,,,,,,
hong kong,1473757641.5463982,15373,29106,3.786638912378846,13149,2.852468613803421,4872704.042999993,167.41235631828462,3493735.035000015,159.1606320896549,21951,10.431158805642747,8.922091142613446,3306.312995864854,2370.6306495103745,1.13235518077,0.006596578025149453,,,2.0420054641254075,0.039960811098148134,0.000246333522793301,0.08140958328299754,0.00048559969099923377,281722523,0.00036764966256743056,279085262,9.815675090417453e-06,,,,,,
santiago,26684993.59332777,2266,4350,3.83936451897617,2124,3.362753751103265,433030.8759999993,99.54732781609181,381861.1509999987,102.0746193531138,3741,84.91664021109541,79.59529735585465,16227.505338741134,14309.958503998967,1.00844813161,0.0004597701149425287,,,1.9712783171521029,0.028456546820421917,0.0016950836728371619,0.021785819358634897,0.0007538140715431365,370189635,0.0017833872345719786,16106543,6.775100570166327e-05,,,,,,
mexico city,1526753163.9592366,102741,258569,5.033414118998257,87140,2.9541663016711928,23858015.78300038,92.26943594553244,14303961.004999747,94.33401484524765,151631,67.29378554786679,57.07536886579956,15626.635887317128,9368.875953665063,1.04848338248,0.0013806759511000933,,,2.752807776929838,0.04912761137032811,4.899176678024593e-05,0.02678652169994591,0.00031682232407258785,1141524338,3.671745209016837e-05,31180439,1.4646537494352252e-06,4 (4),218 (9),3%,-,7,9
fuzhou,16014929412.546919,12223,26592,4.351141291008754,10220,2.775177943221795,16209621.276000138,609.567587093868,10128833.743000085,597.5713122713913,16950,0.7632253433739066,0.6381545454701241,1012.156898006724,632.4619660867587,1.19825470285,0.0009025270758122744,,,2.3937492938761085,0.04692921420532389,0.0003560089421542088,0.048745729167884125,0.0003568827113521852,3075092333,0.00040345027018437186,1648148815,1.256782453958904e-05,,,,,,
changsha,13982192513.574629,18774,43095,4.590923617769255,15526,2.9258016405667413,17467189.083000027,405.31822909850393,11273328.363999985,410.92543427863177,27434,1.3427078751614412,1.1104124038434289,1249.245357338771,806.2632775979346,1.08799228504,0.0015315001740341108,,,2.520883681586015,0.027619060078424483,0.0002445492791652737,0.03917550614578464,0.00033562054160362893,5470975692,0.00028451541660068,2293600094,8.229161586246687e-06,,,,,,
ho chi minh city,2834109098.8604627,68471,161748,4.724569525784639,48114,2.508974602386412,17435006.67399993,107.79117314588082,9465797.295999987,110.29312658463816,85824,24.15962039976893,16.976763533678238,6151.847393951837,3339.955155504066,1.05826142843,0.0007913544526052872,,,2.788208633338904,0.04863916966113669,6.900203776517902e-05,0.020906661214236268,0.0002078669828261248,4603175867,6.622408102155678e-05,366238276,2.1947010270226284e-06,,,,,,
