city_name;graph_area;n;m;k_avg;intersection_count;streets_per_node_avg;edge_length_total;edge_length_avg;street_length_total;street_length_avg;street_segments_count;node_density_km;intersection_density_km;edge_density_km;street_density_km;circuity_avg;self_loop_proportion;clean_intersection_count;clean_intersection_density_km;avg_neighbor_degree_avg;avg_weighted_neighbor_degree_avg;degree_centrality_avg;clustering_coefficient_avg;clustering_coefficient_weighted_avg;pagerank_max_node;pagerank_max;pagerank_min_node;pagerank_min
"""Madrid, Spain""";732832074.6770833;30666;62009;4.0441531337637775;28665;3.0818169960216526;6203375.346000011;100.03991914077007;4759303.094000045;100.91179725632477;47163;41.84587582839184;39.115373071833694;8464.934273971947;6494.397909776527;1.05042275796;0.0017900627328291054;;;2.0934645318376557;0.051006786937186445;0.00013188172619480766;0.06283397465161912;0.0005505922212008808;4340536572;0.00016431222932104632;21696579;4.965471117353237e-06
"""Yangon, Myanmar""";1300951702.2028208;46284;131584;5.685938985394521;40565;2.964804252009334;12947962.876000127;98.40073926921302;6750561.289999905;98.37313529188752;68622;35.57703173886485;31.1810191964189;9952.685294985313;5188.940741281632;1.03468620731;0.000569978112840467;;;3.048218966957381;0.04380451733606268;0.00012285156505407468;0.02798786786341852;0.0003432473125475989;490612525;9.43914056841017e-05;270874198;3.2423536942424234e-06
"""Osaka , Japan""";306068292.71887815;48966;135402;5.530449699791692;45525;3.163827962259527;8579995.911999892;63.3668329271347;5099011.969999986;66.04338945950478;77207;159.98390282450777;148.74131389302204;28032.945966998832;16659.719713872477;1.02673429351;0.000295416611276052;;;2.917535636972545;0.06992317231711201;0.00011294699683029284;0.02568030684070398;0.00046079220974762505;4758092971;9.193037921796104e-05;333700338;3.0721532437182648e-06
"""Moscow , Russia""";1405519849.1207948;16682;34976;4.193262198777125;15471;3.025176837309675;8021373.194000019;229.33935252744794;5467540.601000047;218.2650938522973;25050;11.868918116265107;11.007315200619677;5707.0508104298115;3890.0486566733284;1.06047946728;0.0008577310155535224;;;2.2052511689245837;0.024737050457728033;0.0002513795455174365;0.0852495703952343;0.0008883612463149968;100012502;0.00033578142586967953;31448152;9.09135821504718e-06
"""Busan, South Korea""";1083364008.990114;25903;72110;5.567694861599042;22206;2.96069953287264;8074687.290000074;111.9773580640698;4576806.706999991;119.27775421542287;38371;23.909784509221566;20.49726575345613;7453.346449571557;4224.625028171631;1.07173223764;0.002052419914020247;;;2.9902193715381715;0.054692375388322334;0.00021495231494092116;0.04214624891766618;0.0005056419170897906;436860962;0.00018091140421440903;436212427;5.818658535840525e-06
"""Hefei, China""";13822436300.976974;17305;39797;4.599479919098527;14886;3.081305980930367;19086113.53599997;479.5867411111382;12295335.658999924;462.0048720174322;26613;1.2519500631575982;1.0769447350571515;1380.8067637577722;889.5201534139741;1.05765877905;0.0007286981430761112;;;2.5098218241356265;0.02110424590355054;0.00026580443360489273;0.03733988250024084;0.0004594645455756378;3409912958;0.0003381992259247091;3032181267;8.919858073712555e-06
"""Changchun, China""";25954726940.032444;13652;32871;4.81555815997656;11580;2.987913858775271;16345075.602999896;497.2491132913479;9902457.082999995;486.5115988503486;20354;0.5259928194021268;0.4461615037120296;629.753325502698;381.52807794431055;1.06307474315;0.00042590733473274315;;;2.6455171403457154;0.021412696124702264;0.0003527623001960606;0.03897841586092358;0.000183359969865707;3523404563;0.0003369102741921766;5813887962;1.1312030839492977e-05
"""Ji'nan , China""";15458212302.747036;15768;37801;4.794647387113141;13483;3.0249873160832066;16798775.254999924;444.4002871617133;10928130.701000033;458.87594797396736;23815;1.0200403313905784;0.8722224624644322;1086.7217325003785;706.9466046250398;1.0723008539;0.0014549879632813946;;;2.621288897344832;0.023958554719578043;0.00030409382806580474;0.04132420091324193;0.00032693288471188404;3103962374;0.0003834449676273609;2169140219;9.731997779583476e-06
"""Hong Kong, Hong Kong""";1473757641.546398;15368;29086;3.7852680895366997;13144;2.8522254034357104;4872960.785999991;167.536298769167;3493813.6210000156;159.2367540677278;21941;10.427766117551407;8.918698454522104;3306.48720564858;2370.6839730676443;1.132266;0.00653235233445644;;;2.0409563161547726;0.03988679674891547;0.00024632446733501034;0.08141437991125638;0.00048272430045022733;281722523;0.00036781725914940917;279085262;9.81977383014593e-06
"""New York, United States""";1230682053.7368746;55431;141586;5.108549367682344;51480;3.3142465407443487;16516620.903000291;116.65433660814128;11266850.698000109;122.72455719669857;91806;45.04087780567522;41.83046290768993;13420.705090196772;9154.964650527854;1.02125655219;0.001101803850663201;;;2.7001061379612623;0.03677172127039169;9.216217513409604e-05;0.04017414185460829;0.0007149216123735878;42727425;8.065908753483823e-05;42424258;2.715184886962742e-06
