city_name,hours_congestion,inner_time,inner_mile_speed,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,cluster,x-tsne,y-tsne
belo horizonte,202,8,8,381052179.86851513,29952,80369,5.366519764957265,27571,3.1333466880341883,8466112.220999995,105.34051961577221,4903116.742000021,105.12460586179589,46641,78.60340809580244,72.35492002568672,22217.724155052183,12867.310570672706,1.03655141536,0.0010949495452226604,2.855435601724636,0.03760296907834736,0.00017917664735593168,0.04581489112739029,0.0009204026876063439,28404508,0.00014851957812940257,73236574,5.0217658553385695e-06,1,2.9495049,4.8200736
bergen,42,3,18,556343855.4823151,11728,24528,4.18281036834925,7222,2.2644099590723057,3304200.0720000006,134.71135322896285,1768370.658999996,132.52178199940016,13344,21.080488055058265,12.981180485473294,5939.132857206571,3178.557004942439,1.1461350758600002,0.006033920417482061,2.596801102773958,0.04624852631660665,0.00035668204727122387,0.03572646657571582,0.00022522734624289809,4986677664,0.0003510163599279113,21557990,1.2801852313057249e-05,0,-3.8591774,2.6634452
berlin,154,5,11,1126811850.9986699,28576,74352,5.2038073908174685,25169,3.0033244680851063,10669936.98099997,143.50571579782616,6138182.109000038,143.13121392095232,42885,25.360045667494248,22.336470793853678,9469.138056671507,5447.388668800293,1.0414710076,0.002394017645792985,2.808049878686074,0.0515711379628981,0.0001821104948667217,0.05046309257185419,0.0006140554435977117,26804478,0.00016967461883529987,12696810,5.263131048750455e-06,2,2.8203022,2.642544
birmingham,134,5,12,303906051.58313304,25564,56918,4.452980754185574,17958,2.460726020966985,4992714.295999912,87.71766920833322,2750111.9430000004,86.98481601088058,31616,84.11810119222653,59.0906298392272,16428.479360616355,9049.217442936346,1.05705956963,0.011033416493903509,2.6198886454910446,0.08406303868135957,0.0001741963288418498,0.036058519793460704,0.000368869166132827,17809559,0.00021708280099771827,205704,5.88154378584169e-06,1,0.6328871,-3.6407006
bogota,272,8,7,638112575.4915035,57288,145293,5.072371177209887,50138,2.9635700321184197,11143263.8440002,76.6951184434226,6740220.406999998,79.42846848301298,84859,89.77726219527042,78.57234275845674,17462.84945946591,10562.744985566806,1.04137858279,0.00048178508255731524,2.749708074823215,0.06043294527548253,8.8543145516616e-05,0.02843834992452383,0.0004536402758208868,1062778141,6.551739751122617e-05,316848114,2.622567258179846e-06,2,4.220041,4.635438
bologna,147,8,8,166561536.09297964,5721,11526,4.029365495542737,4882,2.8133193497640274,1478356.2690000003,128.26273373243106,975619.0909999977,122.13558975963915,7988,34.34766593894983,29.310488570871016,8875.736281483003,5857.409302801924,1.0794097792100001,0.003643935450286309,2.1823253510458582,0.043139755985181126,0.0007044345271927776,0.08136106741245573,0.0009364607339428856,251845886,0.000939739835142572,6714672,2.6609250125481398e-05,1,-3.22256,-3.071247
bonn,104,6,11,160413759.87806383,5927,14019,4.730555086890501,4729,2.7057533322085368,1644730.9500000088,117.32156002568007,952296.389,118.31238526525033,8049,36.948201977843574,29.48001470444107,10253.054047546962,5936.500645105969,1.06111534066,0.01012911049290249,2.647950059051807,0.1440258501041492,0.0007982711925228875,0.05847252685450744,0.0005549844887616405,26789899,0.0008126606081457109,30963208,2.5443436220503807e-05,1,-4.167429,0.4046367
bordeaux,223,9,7,63047062.41127865,4308,8873,4.1193129062209835,4014,3.0724233983286906,813968.5690000027,91.73544111349064,591290.7489999982,90.93982605352171,6502,68.32990840869583,63.66672524431408,12910.491589444611,9378.561448950564,1.03252768468,0.0015778203538825651,2.14938486536676,0.03957089211045935,0.000956422778319256,0.05739709068399914,0.0017013433639984476,258606363,0.0011027240795886855,35258412,3.533593585037023e-05,1,-3.328776,-4.4887695
"boston, ma",164,6,11,240486408.65460944,11147,25626,4.597829012290302,9616,2.947250381268503,2621594.7450000043,102.3021441114495,1735797.4259999988,106.1195467383994,16357,46.351891827739436,39.985627685973135,10901.217909429477,7217.860816795595,1.04012855016,0.002536486381019277,2.482850393229862,0.03743543175522261,0.00041250933180429864,0.04739092730480502,0.0010550102284661294,61345566,0.0004417465904757577,61338328,1.356417032598753e-05,1,-0.8519462,-1.7949232
bremen,96,5,12,1070927015.4553852,9148,20787,4.544599912549191,7454,2.739724529951902,2967933.681000015,142.77835575119136,1780803.274999999,141.99850689737653,12541,8.54213206687109,6.960324926372661,2771.3687657211403,1662.8614735643366,1.07098681296,0.009044114109780151,2.515608147500359,0.04852506080800398,0.0004968404845904976,0.06446946509255187,0.0004982580858698924,249796792,0.0005042926422392105,21701583,1.6578223850032355e-05,0,-2.6986916,0.22019339
bristol,149,8,8,133556890.80845842,11804,27167,4.603015926804473,8714,2.507793968146391,2226473.0759999845,81.95505856369803,1197878.5830000006,81.0362997564606,14782,88.38181188965228,65.24560393141562,16670.59679603576,8969.051134306106,1.0547716030299998,0.001914086943718482,2.651099909635154,0.07892227296576783,0.00038998694626821736,0.043403366090589916,0.0010154963405141835,616932685,0.00030722770669372684,305893,1.2744033978601205e-05,1,-0.37717575,-4.6951795
